,x,y,theta,v
287,1.15776,2.267829,1.140639,3.347477
288,1.61266,0.03496,-0.395091,5.04558
289,2.417269,-0.063318,0.197094,3.177878
290,7.519173,2.674727,1.435182,3.941603
291,7.584557,3.517843,1.549027,4.519431
292,-5.414807,-0.574702,0.551457,-4.202058
293,-6.306258,-0.992296,0.335375,-5.661112
294,1.15776,2.267829,1.140639,3.347477
295,1.325066,2.526129,0.843101,2.83024
296,1.61266,0.03496,-0.395091,5.04558
297,2.018393,-0.179903,-0.585123,4.150483
298,0.815864,0.213302,-0.016365,3.167673
299,1.152962,0.230356,0.114744,3.587744
300,2.089271,-0.217421,-0.574956,5.75514
301,2.551926,-0.607253,-0.821207,6.375348
302,-6.084545,0.133956,-0.479864,-1.565248
303,-6.526816,0.372011,-0.504595,-3.457561
304,1.325066,2.526129,0.843101,2.83024
305,1.617753,2.959379,1.117476,2.414658
306,3.135672,0.613548,-0.53732,-0.518403
307,3.066137,0.665774,-0.725639,-1.223303
308,-5.59363,-0.16671,-0.349045,-1.891975
309,-5.720398,-0.106939,-0.556137,-0.915897
310,2.551926,-0.607253,-0.821207,6.375348
311,2.935058,-1.142013,-1.074192,6.81666
312,-6.590751,0.36214,-0.498215,-1.633599
313,-6.689943,0.432165,-0.761194,-0.801525
314,7.584557,3.517843,1.549027,4.519431
315,7.591527,3.968908,1.56167,4.503005
316,8.757784,0.790306,0.201241,5.960336
317,9.986265,1.182968,0.412054,6.960616
318,1.15776,2.267829,1.140639,3.347477
319,1.259943,2.623194,1.431471,4.073859
320,3.411727,-1.092272,-0.591273,4.928222
321,3.832702,-1.309689,-0.359255,4.569133
322,2.898944,0.551284,0.357057,-2.044603
323,2.632051,0.489811,0.044906,-0.70447
324,-6.689943,0.432165,-0.761194,-0.801525
325,-6.77131,0.520396,-0.877601,-1.600211
326,2.089271,-0.217421,-0.574956,5.75514
327,2.59939,-0.532671,-0.532701,6.239139
328,1.617753,2.959379,1.117476,2.414658
329,1.799747,3.177484,0.49144,0.465626
330,-2.227272,-0.550056,0.236854,-5.610195
331,-2.783996,-0.690676,0.257802,-5.874199
332,2.35201,0.464949,-0.011265,-3.523142
333,1.998882,0.422753,0.248072,-3.609629
334,2.35201,0.464949,-0.011265,-3.523142
335,1.997769,0.465833,0.006247,-3.561785
336,1.55704,0.691637,-0.517741,-4.831726
337,1.106859,0.934285,-0.471824,-5.397385
338,-5.720398,-0.106939,-0.556137,-0.915897
339,-5.797205,-0.053592,-0.705762,-0.019868
340,-5.797205,-0.053592,-0.705762,-0.019868
341,-5.784177,-0.069044,-0.946644,0.424671
342,1.106859,0.934285,-0.471824,-5.397385
343,0.565206,1.120763,-0.196884,-6.095824
344,-5.784177,-0.069044,-0.946644,0.424671
345,-5.724084,-0.20417,-1.306524,1.061713
346,1.55704,0.691637,-0.517741,-4.831726
347,0.838216,1.156263,-0.634911,-3.732272
348,0.565206,1.120763,-0.196884,-6.095824
349,-0.520632,1.499595,-0.479822,-5.442839
350,0.53693,0.176481,0.291335,2.481543
351,1.156647,0.288015,0.079847,3.826764
